Order_ID,Date,Product_Size,Region,Sales_Channel,Material,Quantity_Sold,Unit_Price,Total_Sales
ORD-1062,2023-03-11,Large,Europe,Online,Acrylic,16,295.19,4723.04
ORD-1063,2023-01-26,Extra Large,Europe,Retail,Polycarbonate,6,328.34,1970.04
ORD-1064,2023-03-16,Medium,Africa,Online,Polycarbonate,4,436.76,1747.04
ORD-1065,2023-11-26,Large,Middle East,Online,Acrylic,7,420.71,2944.97
ORD-1066,2023-05-06,Extra Large,Europe,Online,Polycarbonate,4,456.29,1825.16
ORD-1067,2023-04-16,Extra Large,Africa,Online,Acrylic,20,467.81,9356.2
ORD-1068,2023-07-02,Extra Large,Asia-Pacific,Retail,Acrylic,15,377.32,5659.8
ORD-1069,2023-10-28,Small,Europe,Distributor,Glass,20,262.63,5252.6
ORD-1070,2023-03-29,Small,Africa,Retail,Acrylic,11,456.28,5019.08
ORD-1071,2023-07-25,Medium,Europe,Online,Polycarbonate,9,247.71,2229.39
ORD-1072,2023-04-11,Large,Europe,Online,Acrylic,3,329.41,988.23
ORD-1073,2023-08-03,Small,Middle East,Online,Acrylic,16,429.53,6872.48
ORD-1074,2023-07-07,Medium,North America,Retail,Polycarbonate,11,174.8,1922.8
ORD-1075,2023-04-17,Extra Large,Middle East,Retail,Polycarbonate,20,430.07,8601.4
ORD-1076,2023-12-26,Medium,Middle East,Online,Glass,16,152.55,2440.8
ORD-1077,2023-11-15,Small,Europe,Online,Acrylic,14,395.25,5533.5
ORD-1078,2023-06-12,Large,Middle East,Retail,Acrylic,20,240.49,4809.8
ORD-1079,2023-06-27,Medium,Asia-Pacific,Retail,Polycarbonate,5,226.32,1131.6
ORD-1080,2023-04-27,Small,Asia-Pacific,Distributor,Glass,5,212.15,1060.75
ORD-1081,2023-10-26,Small,Europe,Retail,Glass,4,347.41,1389.64
ORD-1082,2023-09-13,Large,Europe,Distributor,Acrylic,3,396.57,1189.71
ORD-1083,2023-04-08,Medium,Africa,Online,Acrylic,6,353.56,2121.36
ORD-1084,2023-11-22,Extra Large,Asia-Pacific,Retail,Polycarbonate,1,378.14,378.14
ORD-1085,2023-11-19,Extra Large,Asia-Pacific,Online,Polycarbonate,14,403.6,5650.4
ORD-1086,2023-01-17,Extra Large,North America,Online,Glass,6,170.03,1020.18
ORD-1087,2023-01-23,Extra Large,North America,Retail,Polycarbonate,18,356.45,6416.1
ORD-1088,2023-05-27,Extra Large,Asia-Pacific,Distributor,Glass,1,192.93,192.93
ORD-1089,2023-02-12,Extra Large,North America,Online,Acrylic,15,183.4,2751.0
ORD-1090,2023-12-29,Small,Middle East,Online,Acrylic,6,471.7,2830.2
ORD-1091,2023-04-23,Large,Europe,Distributor,Polycarbonate,18,358.71,6456.78
ORD-1092,2023-01-03,Extra Large,North America,Distributor,Polycarbonate,10,178.08,1780.8
ORD-1093,2023-01-02,Extra Large,Europe,Distributor,Glass,10,240.51,2405.1
ORD-1094,2023-06-12,Extra Large,Europe,Retail,Glass,19,250.88,4766.72
ORD-1095,2023-10-26,Medium,Europe,Distributor,Glass,4,321.07,1284.28
ORD-1096,2023-02-14,Extra Large,Asia-Pacific,Retail,Acrylic,19,460.11,8742.09
ORD-1097,2023-04-28,Extra Large,Europe,Distributor,Acrylic,2,308.49,616.98
ORD-1098,2023-07-23,Medium,Africa,Retail,Polycarbonate,2,341.96,683.92
ORD-1099,2023-05-28,Small,North America,Online,Glass,14,476.27,6667.78
