Order_ID,Date,Product_Size,Region,Sales_Channel,Material,Quantity_Sold,Unit_Price,Total_Sales
ORD-1075,2023-05-09,Medium,North America,Distributor,Glass,8,373.62,2988.96
ORD-1076,2023-06-25,Small,Asia-Pacific,Distributor,Glass,7,327.16,2290.12
ORD-1077,2023-03-09,Extra Large,North America,Online,Acrylic,12,167.63,2011.56
ORD-1078,2023-07-28,Large,Africa,Retail,Glass,2,498.07,996.14
ORD-1079,2023-07-29,Extra Large,North America,Distributor,Acrylic,8,222.46,1779.68
ORD-1080,2023-07-08,Small,Asia-Pacific,Online,Glass,16,181.75,2908.0
ORD-1081,2023-07-31,Large,Middle East,Retail,Polycarbonate,6,497.36,2984.16
ORD-1082,2023-12-05,Small,North America,Distributor,Glass,19,245.55,4665.45
ORD-1083,2023-11-14,Small,Europe,Online,Glass,7,279.82,1958.74
ORD-1084,2023-09-08,Small,Middle East,Online,Polycarbonate,10,405.25,4052.5
ORD-1085,2023-10-10,Extra Large,Asia-Pacific,Retail,Acrylic,15,493.6,7404.0
ORD-1086,2023-08-31,Extra Large,Africa,Retail,Acrylic,2,337.27,674.54
ORD-1087,2023-08-03,Large,Europe,Distributor,Polycarbonate,18,385.1,6931.8
ORD-1088,2023-04-03,Extra Large,Middle East,Retail,Acrylic,20,206.01,4120.2
ORD-1089,2023-08-14,Small,Africa,Retail,Glass,1,229.2,229.2
ORD-1090,2023-02-22,Medium,Middle East,Online,Polycarbonate,7,416.05,2912.35
ORD-1091,2023-12-07,Extra Large,Europe,Retail,Glass,15,443.17,6647.55
ORD-1092,2023-12-28,Medium,Asia-Pacific,Online,Polycarbonate,15,237.62,3564.3
ORD-1093,2023-07-05,Extra Large,North America,Retail,Glass,20,463.69,9273.8
ORD-1094,2023-01-31,Small,Europe,Distributor,Glass,3,248.45,745.35
ORD-1095,2023-09-25,Extra Large,Europe,Retail,Glass,19,480.67,9132.73
ORD-1096,2023-02-06,Small,North America,Online,Glass,3,460.2,1380.6
ORD-1097,2023-12-21,Large,Africa,Distributor,Acrylic,10,356.13,3561.3
ORD-1098,2023-02-05,Extra Large,Middle East,Retail,Polycarbonate,8,479.1,3832.8
ORD-1099,2023-12-10,Extra Large,Asia-Pacific,Distributor,Acrylic,12,282.08,3384.96
ORD-1010,2023-12-05,Small,Europe,Retail,Acrylic,10,200.0,2000.0
ORD-1011,2023-12-12,Medium,Asia-Pacific,Distributor,Glass,15,180.5,2707.5
ORD-1012,2023-12-18,Large,North America,Online,Acrylic,7,215.75,1510.25
ORD-1013,2023-12-25,Extra Large,Middle East,Retail,Glass,3,400.0,1200.0
ORD-1014,2023-12-30,Small,Europe,Distributor,Glass,12,170.0,2040.0
